game_pk,game_date,game_type,season,away_team,away_team_id,home_team,home_team_id,venue,status
745935,2024-09-17,R,2024,Philadelphia Phillies,143,Milwaukee Brewers,158,American Family Field,Final
745122,2024-09-17,R,2024,Pittsburgh Pirates,134,St. Louis Cardinals,138,Busch Stadium,Final
744961,2024-09-17,R,2024,Toronto Blue Jays,141,Texas Rangers,140,Globe Life Field,Final
746503,2024-09-17,R,2024,Arizona Diamondbacks,109,Colorado Rockies,115,Coors Field,Final
746176,2024-09-17,R,2024,Chicago White Sox,145,Los Angeles Angels,108,Angel Stadium,Final
745366,2024-09-17,R,2024,Houston Astros,117,San Diego Padres,135,Petco Park,Final
745205,2024-09-17,R,2024,New York Yankees,147,Seattle Mariners,136,T-Mobile Park,Final
746831,2024-09-18,R,2024,Oakland Athletics,133,Chicago Cubs,112,Wrigley Field,Final
746500,2024-09-18,R,2024,Arizona Diamondbacks,109,Colorado Rockies,115,Coors Field,Final
746172,2024-09-18,R,2024,Chicago White Sox,145,Los Angeles Angels,108,Angel Stadium,Final
746988,2024-09-18,R,2024,San Francisco Giants,137,Baltimore Orioles,110,Oriole Park at Camden Yards,Final
745365,2024-09-18,R,2024,Houston Astros,117,San Diego Padres,135,Petco Park,Final
746582,2024-09-18,R,2024,Minnesota Twins,142,Cleveland Guardians,114,Progressive Field,Final
746662,2024-09-18,R,2024,Atlanta Braves,144,Cincinnati Reds,113,Great American Ball Park,Final
746014,2024-09-18,R,2024,Los Angeles Dodgers,119,Miami Marlins,146,loanDepot park,Final
745040,2024-09-18,R,2024,Boston Red Sox,111,Tampa Bay Rays,139,Tropicana Field,Final
745771,2024-09-18,R,2024,Washington Nationals,120,New York Mets,121,Citi Field,Final
746254,2024-09-18,R,2024,Detroit Tigers,116,Kansas City Royals,118,Kauffman Stadium,Final
745933,2024-09-18,R,2024,Philadelphia Phillies,143,Milwaukee Brewers,158,American Family Field,Final
745121,2024-09-18,R,2024,Pittsburgh Pirates,134,St. Louis Cardinals,138,Busch Stadium,Final
744959,2024-09-18,R,2024,Toronto Blue Jays,141,Texas Rangers,140,Globe Life Field,Final
745199,2024-09-18,R,2024,New York Yankees,147,Seattle Mariners,136,T-Mobile Park,Final
746985,2024-09-19,R,2024,San Francisco Giants,137,Baltimore Orioles,110,Oriole Park at Camden Yards,Final
746579,2024-09-19,R,2024,Minnesota Twins,142,Cleveland Guardians,114,Progressive Field,Final
746663,2024-09-19,R,2024,Atlanta Braves,144,Cincinnati Reds,113,Great American Ball Park,Final
744962,2024-09-19,R,2024,Toronto Blue Jays,141,Texas Rangers,140,Globe Life Field,Final
745204,2024-09-19,R,2024,New York Yankees,147,Seattle Mariners,136,T-Mobile Park,Final
746011,2024-09-19,R,2024,Los Angeles Dodgers,119,Miami Marlins,146,loanDepot park,Final
745041,2024-09-19,R,2024,Boston Red Sox,111,Tampa Bay Rays,139,Tropicana Field,Final
745120,2024-09-19,R,2024,Pittsburgh Pirates,134,St. Louis Cardinals,138,Busch Stadium,Final
745769,2024-09-19,R,2024,Philadelphia Phillies,143,New York Mets,121,Citi Field,Final
745937,2024-09-19,R,2024,Arizona Diamondbacks,109,Milwaukee Brewers,158,American Family Field,Final
